"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","Celltype"
3.71594374596406e-05,0.476814381525827,0.764,0.619,0.607185208090527,"2","CYP51A1","AVC"
3.76693616640557e-05,0.351213540167339,0.925,0.833,0.61551736959067,"2","IFI27L2","AVC"
3.94107333732944e-05,0.376582758702976,0.876,0.74,0.64397138331963,"2","RAB4A","AVC"
4.19640991063569e-05,0.831465596209997,0.329,0.184,0.685693379397872,"2","PROB1","AVC"
4.19918372351475e-05,0.491608380293592,0.87,0.756,0.68614662042231,"2","TSPAN9","AVC"
4.31910661079758e-05,0.728648510947105,0.484,0.327,0.705742020204325,"2","TCAP","AVC"
4.37259722239584e-05,0.517423999700475,0.789,0.665,0.714482386139481,"2","NDUFA12","AVC"
4.39840087211022e-05,0.518345148858671,0.702,0.564,0.71869870250281,"2","FKBP5","AVC"
4.40089040808875e-05,0.260204379721533,0.932,0.899,0.719105492681702,"2","ARF1","AVC"
4.53247325414615e-05,0.907596770589889,0.286,0.153,0.740606129727481,"2","FBXL22","AVC"
4.62268111549831e-05,0.727714878017662,0.491,0.318,0.755346094272424,"2","LIMS2","AVC"
4.66416159689275e-05,0.747568326406173,0.559,0.44,0.762124004932275,"2","ABTB2","AVC"
4.94513552260343e-05,0.675419789246729,0.72,0.588,0.808035144393401,"2","MVK","AVC"
5.44107755116181e-05,0.345503549558492,0.925,0.822,0.889072071859839,"2","HSPD1","AVC"
5.65919204753696e-05,0.457573877721307,0.832,0.733,0.924711980567539,"2","UQCRH","AVC"
5.78805032656646e-05,0.5274037998324,0.758,0.633,0.94576742336096,"2","ACSS2","AVC"
6.17856565737279e-05,0.55464177051089,0.683,0.541,1,"2","PCYT2","AVC"
6.21119388959319e-05,0.526440155079882,0.702,0.579,1,"2","GLUD1","AVC"
6.38846121994446e-05,0.320976619046345,0.963,0.882,1,"2","NDUFA5","AVC"
6.73871503684566e-05,0.524295750920419,0.683,0.59,1,"2","ELOVL6","AVC"
6.82623432692122e-05,1.15012345757268,0.255,0.131,1,"2","PACSIN1","AVC"
7.12222141462635e-05,0.265512123916605,0.981,0.95,1,"2","ECH1","AVC"
7.69542129595171e-05,0.512471823993872,0.534,0.364,1,"2","KEL","AVC"
7.72147323068656e-05,0.383871153984671,0.888,0.784,1,"2","KCNH2","AVC"
7.87299163001396e-05,0.382994876696512,0.87,0.753,1,"2","ATP5ME","AVC"
8.1142400884178e-05,0.269941013607127,0.932,0.901,1,"2","FILIP1","AVC"
8.25260410949652e-05,0.347493263862849,0.932,0.836,1,"2","UQCR11","AVC"
8.30407571145285e-05,0.387627620936302,0.845,0.731,1,"2","ARHGEF2","AVC"
8.39331218084281e-05,1.11409223682334,0.329,0.198,1,"2","GALNT10","AVC"
8.50763459878317e-05,0.427746694763205,0.714,0.532,1,"2","EPHA4","AVC"
8.99933916355777e-05,0.482824637113412,0.534,0.35,1,"2","TSPYL2","AVC"
9.14459105298761e-05,0.367868531521611,0.839,0.725,1,"2","NEDD8","AVC"
9.29056748257289e-05,0.530729478467373,0.534,0.391,1,"2","PPP1R13L","AVC"
9.3669618639929e-05,0.735537804685836,0.584,0.446,1,"2","ERBB4","AVC"
9.73415384795366e-05,0.290002200226629,0.925,0.876,1,"2","ATP5PD","AVC"
9.94156887602232e-05,0.2749032489772,0.975,0.931,1,"2","HSPA8","AVC"
9.97642043945572e-05,0.655971472710692,0.447,0.293,1,"2","PAIP2B","AVC"
0.000100577525105535,0.54174449957186,0.702,0.551,1,"2","MAST4","AVC"
0.000106504180780392,0.282834928541551,0.901,0.857,1,"2","GHITM","AVC"
0.000107497775917227,1.36828098450632,0.373,0.246,1,"2","MYH7","AVC"
0.000107949034391435,0.273249781914293,0.385,0.232,1,"2","ENG","AVC"
0.00010824937966864,0.322104930857888,0.845,0.819,1,"2","MOCS2","AVC"
0.000109764092441106,0.428539936324948,0.789,0.684,1,"2","ADAMTS12","AVC"
0.000110159362581899,0.366718375952952,0.882,0.768,1,"2","ATP5MD","AVC"
0.000115546919006279,0.746808303442766,0.416,0.268,1,"2","KIFC3","AVC"
0.000124088666058375,0.316493165711722,0.938,0.818,1,"2","PRICKLE1","AVC"
0.00012633884554037,0.512136770998844,0.652,0.517,1,"2","RIN2","AVC"
0.000128112350786033,0.38857649736931,0.404,0.238,1,"2","GDF2","AVC"
0.000128128982263749,0.436026164431612,0.832,0.766,1,"2","CAMK2D","AVC"
0.00013675589389335,0.416352346950133,0.621,0.454,1,"2","EDNRA","AVC"
0.000137511930904437,0.347204117114017,0.783,0.664,1,"2","HSPG2","AVC"
